metric,name,type,level,function_name
area,patch area,area and edge metric,patch,lsm_p_area
cai,core area index,core area metric,patch,lsm_p_cai
circle,related circumscribing circle,shape metric,patch,lsm_p_circle
contig,contiguity index,shape metric,patch,lsm_p_contig
core,core area,core area metric,patch,lsm_p_core
enn,euclidean nearest neighbor distance,aggregation metric,patch,lsm_p_enn
frac,fractal dimension index,shape metric,patch,lsm_p_frac
gyrate,radius of gyration,area and edge metric,patch,lsm_p_gyrate
ncore,number of core areas,core area metric,patch,lsm_p_ncore
para,perimeter-area ratio,shape metric,patch,lsm_p_para
perim,patch perimeter,area and edge metric,patch,lsm_p_perim
shape,shape index,shape metric,patch,lsm_p_shape
ai,aggregation index,aggregation metric,class,lsm_c_ai
area_cv,patch area,area and edge metric,class,lsm_c_area_cv
area_mn,patch area,area and edge metric,class,lsm_c_area_mn
area_sd,patch area,area and edge metric,class,lsm_c_area_sd
ca,total (class) area,area and edge metric,class,lsm_c_ca
cai_cv,core area index,core area metric,class,lsm_c_cai_cv
cai_mn,core area index,core area metric,class,lsm_c_cai_mn
cai_sd,core area index,core area metric,class,lsm_c_cai_sd
circle_cv,related circumscribing circle,shape metric,class,lsm_c_circle_cv
circle_mn,related circumscribing circle,shape metric,class,lsm_c_circle_mn
circle_sd,related circumscribing circle,shape metric,class,lsm_c_circle_sd
clumpy,clumpiness index,aggregation metric,class,lsm_c_clumpy
cohesion,patch cohesion index,aggregation metric,class,lsm_c_cohesion
contig_cv,contiguity index,shape metric,class,lsm_c_contig_cv
contig_mn,contiguity index,shape metric,class,lsm_c_contig_mn
contig_sd,contiguity index,shape metric,class,lsm_c_contig_sd
core_cv,core area,core area metric,class,lsm_c_core_cv
core_mn,core area,core area metric,class,lsm_c_core_mn
core_sd,core area,core area metric,class,lsm_c_core_sd
cpland,core area percentage of landscape,core area metric,class,lsm_c_cpland
dcad,disjunct core area density,core area metric,class,lsm_c_dcad
dcore_cv,disjunct core area,core area metric,class,lsm_c_dcore_cv
dcore_mn,disjunct core area,core area metric,class,lsm_c_dcore_mn
dcore_sd,disjunct core area,core area metric,class,lsm_c_dcore_sd
division,division index,aggregation metric,class,lsm_c_division
ed,edge density,area and edge metric,class,lsm_c_ed
enn_cv,euclidean nearest neighbor distance,aggregation metric,class,lsm_c_enn_cv
enn_mn,euclidean nearest neighbor distance,aggregation metric,class,lsm_c_enn_mn
enn_sd,euclidean nearest neighbor distance,aggregation metric,class,lsm_c_enn_sd
frac_cv,fractal dimension index,shape metric,class,lsm_c_frac_cv
frac_mn,fractal dimension index,shape metric,class,lsm_c_frac_mn
frac_sd,fractal dimension index,shape metric,class,lsm_c_frac_sd
gyrate_cv,radius of gyration,area and edge metric,class,lsm_c_gyrate_cv
gyrate_mn,radius of gyration,area and edge metric,class,lsm_c_gyrate_mn
gyrate_sd,radius of gyration,area and edge metric,class,lsm_c_gyrate_sd
iji,interspersion and juxtaposition index,aggregation metric,class,lsm_c_iji
lpi,largest patch index,area and edge metric,class,lsm_c_lpi
lsi,landscape shape index,aggregation metric,class,lsm_c_lsi
mesh,effective mesh size,aggregation metric,class,lsm_c_mesh
ndca,number of disjunct core areas,core area metric,class,lsm_c_ndca
nlsi,normalized landscape shape index,aggregation metric,class,lsm_c_nlsi
np,number of patches,aggregation metric,class,lsm_c_np
pafrac,perimeter-area fractal dimension,shape metric,class,lsm_c_pafrac
para_cv,perimeter-area ratio,shape metric,class,lsm_c_para_cv
para_mn,perimeter-area ratio,shape metric,class,lsm_c_para_mn
para_sd,perimeter-area ratio,shape metric,class,lsm_c_para_sd
pd,patch density,aggregation metric,class,lsm_c_pd
pladj,percentage of like adjacencies,aggregation metric,class,lsm_c_pladj
pland,percentage of landscape,area and edge metric,class,lsm_c_pland
shape_cv,shape index,shape metric,class,lsm_c_shape_cv
