layer,level,class,id,metric,value,name,type,function_name
1,class,1,NA,ai,62.213740458015266,aggregation index,aggregation metric,lsm_c_ai
1,class,2,NA,ai,91.05530766836152,aggregation index,aggregation metric,lsm_c_ai
1,class,4,NA,ai,79.31806869089098,aggregation index,aggregation metric,lsm_c_ai
1,class,1,NA,area_cv,212.98729413157386,patch area,area and edge metric,lsm_c_area_cv
1,class,2,NA,area_cv,583.5246302466029,patch area,area and edge metric,lsm_c_area_cv
1,class,4,NA,area_cv,190.02620615083768,patch area,area and edge metric,lsm_c_area_cv
1,class,1,NA,area_mn,0.45964285714285713,patch area,area and edge metric,lsm_c_area_mn
1,class,2,NA,area_mn,24.34,patch area,area and edge metric,lsm_c_area_mn
1,class,4,NA,area_mn,7.816595744680851,patch area,area and edge metric,lsm_c_area_mn
1,class,1,NA,area_sd,0.978980884097627,patch area,area and edge metric,lsm_c_area_sd
1,class,2,NA,area_sd,142.02989500202312,patch area,area and edge metric,lsm_c_area_sd
1,class,4,NA,area_sd,14.853580343764838,patch area,area and edge metric,lsm_c_area_sd
1,class,1,NA,ca,12.87,total (class) area,area and edge metric,lsm_c_ca
1,class,2,NA,ca,876.24,total (class) area,area and edge metric,lsm_c_ca
1,class,4,NA,ca,367.38,total (class) area,area and edge metric,lsm_c_ca
1,class,1,NA,cai_cv,297.27589912600524,core area index,core area metric,lsm_c_cai_cv
1,class,2,NA,cai_cv,323.36464220783756,core area index,core area metric,lsm_c_cai_cv
1,class,4,NA,cai_cv,109.71818221303464,core area index,core area metric,lsm_c_cai_cv
1,class,1,NA,cai_mn,4.151129838168394,core area index,core area metric,lsm_c_cai_mn
1,class,2,NA,cai_mn,5.1117147623228645,core area index,core area metric,lsm_c_cai_mn
1,class,4,NA,cai_mn,18.555243943932876,core area index,core area metric,lsm_c_cai_mn
1,class,1,NA,cai_sd,12.340308550302979,core area index,core area metric,lsm_c_cai_sd
1,class,2,NA,cai_sd,16.529478151870546,core area index,core area metric,lsm_c_cai_sd
1,class,4,NA,cai_sd,20.358476360477347,core area index,core area metric,lsm_c_cai_sd
1,class,1,NA,circle_cv,91.24020173108768,related circumscribing circle,shape metric,lsm_c_circle_cv
1,class,2,NA,circle_cv,124.34621617641116,related circumscribing circle,shape metric,lsm_c_circle_cv
1,class,4,NA,circle_cv,51.08339736605832,related circumscribing circle,shape metric,lsm_c_circle_cv
1,class,1,NA,circle_mn,0.34263598750846264,related circumscribing circle,shape metric,lsm_c_circle_mn
1,class,2,NA,circle_mn,0.244164668298395,related circumscribing circle,shape metric,lsm_c_circle_mn
1,class,4,NA,circle_mn,0.5436193894067197,related circumscribing circle,shape metric,lsm_c_circle_mn
1,class,1,NA,circle_sd,0.3126217662060257,related circumscribing circle,shape metric,lsm_c_circle_sd
1,class,2,NA,circle_sd,0.3036095262687395,related circumscribing circle,shape metric,lsm_c_circle_sd
1,class,4,NA,circle_sd,0.2776992528495746,related circumscribing circle,shape metric,lsm_c_circle_sd
1,class,1,NA,clumpy,0.6230621708585234,clumpiness index,aggregation metric,lsm_c_clumpy
1,class,2,NA,clumpy,0.7312873396135625,clumpiness index,aggregation metric,lsm_c_clumpy
1,class,4,NA,clumpy,0.7155184080357732,clumpiness index,aggregation metric,lsm_c_clumpy
1,class,1,NA,cohesion,68.61633442670502,patch cohesion index,aggregation metric,lsm_c_cohesion
1,class,2,NA,cohesion,99.70933468579666,patch cohesion index,aggregation metric,lsm_c_cohesion
1,class,4,NA,cohesion,94.44598547941608,patch cohesion index,aggregation metric,lsm_c_cohesion
1,class,1,NA,contig_cv,142.35302625914605,contiguity index,shape metric,lsm_c_contig_cv
