layer,level,class,id,metric,value,name,type,function_name
1,patch,1,1,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,1,2,area,0.36,patch area,area and edge metric,lsm_p_area
1,patch,1,3,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,1,4,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,5,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,6,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,7,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,8,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,9,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,1,10,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,1,11,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,12,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,1,13,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,14,area,0.27,patch area,area and edge metric,lsm_p_area
1,patch,1,15,area,2.07,patch area,area and edge metric,lsm_p_area
1,patch,1,16,area,0.27,patch area,area and edge metric,lsm_p_area
1,patch,1,17,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,18,area,0.36,patch area,area and edge metric,lsm_p_area
1,patch,1,19,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,1,20,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,1,21,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,22,area,0.27,patch area,area and edge metric,lsm_p_area
1,patch,1,23,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,1,24,area,4.77,patch area,area and edge metric,lsm_p_area
1,patch,1,25,area,1.98,patch area,area and edge metric,lsm_p_area
1,patch,1,26,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,27,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,1,28,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,29,area,852.75,patch area,area and edge metric,lsm_p_area
1,patch,2,30,area,11.79,patch area,area and edge metric,lsm_p_area
1,patch,2,31,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,2,32,area,0.27,patch area,area and edge metric,lsm_p_area
1,patch,2,33,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,34,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,35,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,36,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,37,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,38,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,39,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,40,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,41,area,0.54,patch area,area and edge metric,lsm_p_area
1,patch,2,42,area,0.54,patch area,area and edge metric,lsm_p_area
1,patch,2,43,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,2,44,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,45,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,46,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,47,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,2,48,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,2,49,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,50,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,51,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,2,52,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,2,53,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,54,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,55,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,56,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,57,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,58,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,59,area,6.4799999999999995,patch area,area and edge metric,lsm_p_area
1,patch,2,60,area,0.36,patch area,area and edge metric,lsm_p_area
1,patch,2,61,area,0.09,patch area,area and edge metric,lsm_p_area
1,patch,2,62,area,0.18,patch area,area and edge metric,lsm_p_area
1,patch,2,63,area,0.09,patch area,area and edge metric,lsm_p_area
